"scenario","p","m","n_true","n_ratio","m_ratio","method","n_rep","bias","relative_bias","rmse","posterior_sd","coverage_95","stein_loss","median_runtime","mean_runtime","mean_acceptance_rate"
"p10_m50_n40",10,50,40,4,5,"Collapsed",1000,1.28193135205037,0.0320482838012592,1.64244242723891,1.00658573865452,0.741,0.0352734291769705,0.109999999999673,0.106439999999994,NA
"p10_m50_n40",10,50,40,4,5,"MLE",1000,0.732786900596438,0.018319672514911,1.24838457051257,NA,NA,0.0321898696877453,0,0.000280000000001564,NA
"p10_m50_n40",10,50,40,4,5,"RWM",1000,1.27349785465123,0.0318374463662808,1.68684502019763,0.98013479580541,0.705,0.0352970913161067,0.970000000000255,0.97875000000002,0.0739142285571393
"p20_m50_n80",20,50,80,4,2.5,"Collapsed",1000,2.63677458118579,0.0329596822648224,2.84025905814276,1.03211502503725,0.28,0.0639742061536854,0.119999999999891,0.128030000000002,NA
"p20_m50_n80",20,50,80,4,2.5,"MLE",1000,1.41645927852798,0.0177057409815997,1.75598264053177,NA,NA,0.0568983032357278,0,0.000450000000005275,NA
"p20_m50_n80",20,50,80,4,2.5,"RWM",1000,2.66516107691015,0.0333145134613769,2.91984485792702,0.964629674316859,0.232,0.0642722364738409,1.32999999999993,1.34099000000002,0.0370990247561891
"p30_m50_n120",30,50,120,4,1.66666666666667,"Collapsed",1000,3.92701540853395,0.0327251284044496,4.0651596708679,1.0405588365731,0.034,0.0940262796807042,0.149999999999636,0.150460000000002,NA
"p30_m50_n120",30,50,120,4,1.66666666666667,"MLE",1000,2.0399916376446,0.016999930313705,2.2833209497995,NA,NA,0.0829931764102939,0,0.000510000000003856,NA
"p30_m50_n120",30,50,120,4,1.66666666666667,"RWM",1000,3.92482538142002,0.0327068781785001,4.12076275250722,0.946973082857547,0.029,0.0940919694605728,2,2.01968999999999,0.0247689422355589
"p3_m50_n24",3,50,24,8,16.6666666666667,"Collapsed",1000,0.877113911931694,0.0365464129971539,2.22038829259776,1.93783570038127,0.908,0.0162267884373348,0.100000000000364,0.105250000000005,NA
"p3_m50_n24",3,50,24,8,16.6666666666667,"MLE",1000,0.654140930154331,0.0272558720897638,2.12296127854878,NA,NA,0.0155672916022214,0,0.00037000000000171,NA
"p3_m50_n24",3,50,24,8,16.6666666666667,"RWM",1000,0.886130495380531,0.0369221039741888,2.34535580070098,1.89489851991297,0.888,0.0166849676607224,0.890000000000327,0.914810000000005,0.179448612153038
"p5_m50_n40",5,50,40,8,10,"Collapsed",1000,1.24131817759516,0.0310329544398789,2.36574393067825,2.02518490457251,0.912,0.0154089229943714,0.109999999999673,0.104999999999995,NA
"p5_m50_n40",5,50,40,8,10,"MLE",1000,0.744462995396251,0.0186115748849063,2.12142076765034,NA,NA,0.014142867580259,0,0.000330000000005384,NA
"p5_m50_n40",5,50,40,8,10,"RWM",1000,1.26574209682912,0.0316435524207279,2.52286928807038,1.93392779183077,0.874,0.0157864196583824,0.930000000000291,0.941759999999997,0.108438859714929
"p10_m50_n80",10,50,80,8,5,"Collapsed",1000,2.80361027145657,0.0350451283932071,3.5361744522067,2.12132414269672,0.747,0.0226274070262954,0.110000000000582,0.120060000000013,NA
"p10_m50_n80",10,50,80,8,5,"MLE",1000,1.58403351587309,0.0198004189484136,2.64759448802958,NA,NA,0.0188591312200131,0,0.000390000000001237,NA
"p10_m50_n80",10,50,80,8,5,"RWM",1000,2.93914892001169,0.0367393615001461,3.82946291171571,1.95763660116324,0.625,0.023280810104978,1.07999999999993,1.11969000000001,0.0544438609652413
"p20_m50_n160",20,50,160,8,2.5,"Collapsed",1000,5.70379533568964,0.0356487208480603,6.1281584850001,2.17196939363385,0.268,0.0400009234709967,0.130000000000109,0.136009999999993,NA
"p20_m50_n160",20,50,160,8,2.5,"MLE",1000,3.00113095446436,0.0187570684654022,3.72228180927287,NA,NA,0.0314972316174901,0,0.000530000000003383,NA
"p20_m50_n160",20,50,160,8,2.5,"RWM",1000,5.67946662709801,0.0354966664193625,6.27702015297034,1.84565095227894,0.185,0.0401186671666048,1.38999999999942,1.40778000000001,0.0272713178294574
"p30_m50_n240",30,50,240,8,1.66666666666667,"Collapsed",1000,8.6856244191907,0.0361901017466279,8.96030364390163,2.19062159885542,0.027,0.0585134734433492,0.150000000000546,0.155570000000001,NA
